name;source;target;delay;bandwidth;
L1;N1;N6;425;166;
L2;N1;N7;113;105;
L3;N1;N8;237;122;
L4;N2;N3;410;140;
L5;N2;N5;104;96;
L6;N2;N6;229;73;
L7;N3;N5;274;117;
L8;N3;N8;432;126;
L9;N4;N5;223;133;
L10;N4;N6;403;181;
L11;N6;N13;236;154;
L12;N7;N10;272;96;
L13;N7;N14;114;179;
L14;N8;N9;281;161;
L15;N8;N15;232;113;
L16;N9;N10;198;57;
L17;N9;N12;391;59;
L18;N9;N15;344;138;
L19;N10;N12;238;135;
L20;N11;N13;400;105;
L21;N11;N14;291;85;
L22;N13;N14;139;149;
L23;N6;N1;264;128;
L24;N7;N1;347;130;
L25;N8;N1;310;197;
L26;N3;N2;115;104;
L27;N5;N2;422;195;
L28;N6;N2;343;65;
L29;N5;N3;400;188;
L30;N8;N3;291;121;
L31;N5;N4;268;184;
L32;N6;N4;335;125;
L33;N13;N6;172;186;
L34;N10;N7;259;120;
L35;N14;N7;404;88;
L36;N9;N8;199;100;
L37;N15;N8;332;100;
L38;N10;N9;232;70;
L39;N12;N9;354;66;
L40;N15;N9;456;185;
L41;N12;N10;374;59;
L42;N13;N11;182;163;
L43;N14;N11;330;186;
L44;N14;N13;304;174;
