name;source;target;delay;bandwidth
LinkN01_N02;N01;N02;204;186
LinkN03_N07;N03;N07;221;105
LinkN03_N09;N03;N09;287;151
LinkN03_N10;N03;N10;358;107
LinkN05_N04;N05;N04;228;143
LinkN06_N04;N06;N04;333;199
LinkN06_N05;N06;N05;367;113
LinkN06_N07;N06;N07;134;73
LinkN06_N08;N06;N08;223;124
LinkN08_N07;N08;N07;200;189
LinkN08_N09;N08;N09;101;119
LinkN10_N12;N10;N12;132;61
LinkN11_N10;N11;N10;203;148
LinkN11_N12;N11;N12;336;187
LinkN13_N14;N13;N14;107;80
LinkN15_N09;N15;N09;192;50
LinkN15_N11;N15;N11;473;112
LinkN15_N13;N15;N13;344;167
LinkN15_N14;N15;N14;107;129
LinkN15_N16;N15;N16;316;142
LinkN15_N18;N15;N18;162;117
LinkN15_N20;N15;N20;359;102
LinkN15_N21;N15;N21;402;161
LinkN15_N22;N15;N22;258;120
LinkN15_N25;N15;N25;198;171
LinkN16_N09;N16;N09;306;164
LinkN16_N10;N16;N10;373;184
LinkN16_N11;N16;N11;358;92
LinkN16_N12;N16;N12;110;118
LinkN17_N10;N17;N10;289;188
LinkN17_N16;N17;N16;371;183
LinkN18_N19;N18;N19;216;144
LinkN20_N19;N20;N19;341;89
LinkN20_N21;N20;N21;102;102
LinkN20_N24;N20;N24;234;132
LinkN22_N09;N22;N09;155;186
LinkN22_N20;N22;N20;440;129
LinkN22_N23;N22;N23;370;177
LinkN22_N24;N22;N24;306;160
LinkN24_N23;N24;N23;110;122
LinkN25_N01;N25;N01;459;151
LinkN25_N02;N25;N02;250;165
LinkN25_N03;N25;N03;227;55
LinkN25_N04;N25;N04;379;63
LinkN25_N09;N25;N09;273;82
