name;lat;long;capacity;availability;cost
N01;200;175;17985;0.992;54
N02;203;92;22643;0.99;67
N03;269;20;28897;0.99;25
N04;287;158;25010;0.99;24
N05;290;115;28891;0.99;97
N06;367;150;19213;0.99;58
N07;308;70;22207;0.99;21
N08;397;131;14299;0.99;23
N09;482;137;13226;0.99;19
N10;58;113;12645;0.99;78
N11;41;249;19446;0.99;15
N12;92;204;21504;0.99;32
N13;381;250;11853;0.99;24
N14;378;297;18602;0.99;94
N15;257;303;16228;0.99;87
N16;184;248;19213;0.99;46
N17;130;118;25950;0.99;98
N18;59;293;30396;0.99;66
N19;31;353;11857;0.99;38
N20;176;394;7586;0.99;93
N21;135;333;19905;0.99;88
N22;413;329;22128;0.99;61
N23;358;394;22427;0.99;85
N24;268;398;6527;0.99;72
N25;235;188;15371;0.99;71
