name;lat;long;capacity;availability;cost
N01;200;175;17985;0.992;54
N02;203;92;26228;0.994;77
N03;269;20;6819;0.99;99
N04;287;158;9445;0.994;58
N05;290;115;16388;0.99;24
N06;367;150;25827;0.996;47
N07;308;70;14672;0.99;28
N08;397;131;31098;0.997;36
N09;482;137;24205;0.994;37
N10;58;113;11487;0.997;64
N11;41;249;10531;0.992;51
N12;92;204;7315;0.996;74
N13;381;250;16773;0.992;92
N14;378;297;7281;0.999;89
N15;257;303;16202;0.998;95
N16;184;248;20890;0.995;90
N17;130;118;10680;0.997;47
N18;59;293;25422;0.995;42
N19;31;353;30742;0.995;33
N20;176;394;7573;0.99;75
N21;135;333;16230;0.996;27
N22;413;329;16101;0.996;43
N23;358;394;16472;0.993;43
N24;268;398;10650;0.994;68
N25;235;188;30076;0.998;34
