name;lat;long;capacity;availability;cost
N01;200;175;17985;0.992;54
N02;203;92;29479;0.989;39
N03;269;20;24017;0.975;43
N04;287;158;23242;0.999;91
N05;290;115;12504;0.992;25
N06;367;150;27206;0.961;77
N07;308;70;30637;0.973;16
N08;397;131;27076;0.999;99
N09;482;137;14981;0.96;11
N10;58;113;23728;0.985;49
N11;41;249;23855;0.995;96
N12;92;204;30227;0.985;95
N13;381;250;11413;0.977;80
N14;378;297;18619;0.974;29
N15;257;303;19997;0.978;73
N16;184;248;8587;0.965;91
N17;130;118;31269;0.974;75
N18;59;293;8206;0.974;38
N19;31;353;18126;0.964;42
N20;176;394;18174;0.962;99
N21;135;333;26318;0.992;36
N22;413;329;17833;0.964;66
N23;358;394;31364;0.988;31
N24;268;398;18682;0.99;52
N25;235;188;17590;0.995;59
