name;lat;long;capacity;availability;cost
Aachen;6.04;50.76;11229;0.994;92
Augsburg;10.9;48.33;8193;0.992;59
Bayreuth;11.59;49.93;16868;0.995;85
Berlin;13.39;52.52;8876;0.997;37
Bielefeld;8.5;52.04;19956;0.997;16
Braunschweig;10.55;52.28;10587;0.993;45
Bremen;8.85;53.11;31585;0.993;80
Bremerhaven;8.58;53.54;31524;0.992;69
Chemnitz;12.93;50.84;9121;0.995;57
Darmstadt;8.65;49.89;7900;0.998;83
Dortmund;7.45;51.51;13590;0.999;64
Dresden;13.73;51.03;7540;0.993;18
Duesseldorf;6.77;51.25;18503;0.992;31
Erfurt;11.04;50.98;16613;0.992;92
Essen;7.02;51.46;7637;0.998;24
Flensburg;9.45;54.77;17081;0.992;22
Frankfurt;8.71;50.12;20813;0.994;79
Freiburg;7.8;47.98;30115;0.998;44
Fulda;9.69;50.56;13265;0.994;34
Giessen;8.67;50.57;21034;0.991;59
Greifswald;13.4;54.09;10788;0.993;72
Hamburg;9.99;53.57;24449;0.994;85
Hannover;9.72;52.38;16798;0.994;31
Kaiserslautern;7.75;49.43;9433;0.995;11
Karlsruhe;8.41;49.01;24445;0.993;88
Kassel;9.51;51.32;20573;0.991;72
Kempten;10.32;47.72;15930;0.997;96
Kiel;10.12;54.34;14238;0.996;83
Koblenz;7.52;50.4;9071;0.998;67
Koeln;6.87;50.94;27096;0.998;98
Konstanz;9.18;47.66;13618;0.993;58
Leipzig;12.38;51.34;20452;0.995;51
Magdeburg;11.64;52.14;28825;0.998;72
Mannheim;8.49;49.49;18569;0.997;33
Muenchen;11.57;48.15;27833;0.991;34
Muenster;7.6;51.97;13935;0.991;62
Norden;7.21;53.6;11698;0.998;98
Nuernberg;11.03;49.57;25743;0.999;31
Oldenburg;8.21;53.11;24956;0.993;28
Osnabrueck;8.03;52.28;22129;0.996;44
Passau;13.46;48.57;13727;0.99;99
Regensburg;12.09;49;11976;0.994;82
Saarbruecken;7.03;49.23;18016;0.991;38
Schwerin;11.45;53.55;18350;0.997;42
Siegen;8.03;50.91;23190;0.995;48
Stuttgart;9.1;48.74;8173;0.991;17
Trier;6.68;49.75;19651;0.99;69
Ulm;9.99;48.4;25870;0.997;36
Wesel;6.37;51.39;14876;0.993;61
Wuerzburg;9.97;49.78;8638;0.99;60
