name;lat;long;capacity;availability;cost
Aachen;6.04;50.76;11229;0.994;92
Augsburg;10.9;48.33;29593;0.977;87
Bayreuth;11.59;49.93;10214;0.998;91
Berlin;13.39;52.52;25910;0.984;38
Bielefeld;8.5;52.04;29316;0.973;39
Braunschweig;10.55;52.28;11517;0.991;61
Bremen;8.85;53.11;12377;0.991;30
Bremerhaven;8.58;53.54;6421;0.974;54
Chemnitz;12.93;50.84;14148;0.978;97
Darmstadt;8.65;49.89;9472;0.962;45
Dortmund;7.45;51.51;24839;0.972;68
Dresden;13.73;51.03;13275;0.985;94
Duesseldorf;6.77;51.25;18636;0.988;56
Erfurt;11.04;50.98;28922;0.961;84
Essen;7.02;51.46;28738;0.977;88
Flensburg;9.45;54.77;16593;0.991;43
Frankfurt;8.71;50.12;28228;0.975;80
Freiburg;7.8;47.98;17580;0.983;40
Fulda;9.69;50.56;19293;0.98;68
Giessen;8.67;50.57;27557;0.99;85
Greifswald;13.4;54.09;27461;0.981;37
Hamburg;9.99;53.57;10788;0.986;88
Hannover;9.72;52.38;15619;0.996;36
Kaiserslautern;7.75;49.43;14454;0.992;73
Karlsruhe;8.41;49.01;13761;0.96;93
Kassel;9.51;51.32;29476;0.968;67
Kempten;10.32;47.72;19207;0.996;78
Kiel;10.12;54.34;27644;0.996;22
Koblenz;7.52;50.4;25085;0.988;91
Koeln;6.87;50.94;7012;0.972;22
Konstanz;9.18;47.66;11174;0.965;99
Leipzig;12.38;51.34;23933;0.992;80
Magdeburg;11.64;52.14;17282;0.992;96
Mannheim;8.49;49.49;20636;0.995;100
Muenchen;11.57;48.15;7337;0.968;31
Muenster;7.6;51.97;20868;0.982;62
Norden;7.21;53.6;20179;0.98;25
Nuernberg;11.03;49.57;16282;0.976;86
Oldenburg;8.21;53.11;9198;0.993;16
Osnabrueck;8.03;52.28;11710;0.993;85
Passau;13.46;48.57;26891;0.987;54
Regensburg;12.09;49;27013;0.987;52
Saarbruecken;7.03;49.23;23986;0.961;57
Schwerin;11.45;53.55;19976;0.995;40
Siegen;8.03;50.91;27010;0.994;75
Stuttgart;9.1;48.74;31754;0.967;23
Trier;6.68;49.75;28871;0.985;61
Ulm;9.99;48.4;14588;0.983;24
Wesel;6.37;51.39;30723;0.96;50
Wuerzburg;9.97;49.78;13364;0.985;69
